layer,base_r,max_drop,top_feature_index,n_load_bearing,n_moderate,n_negative
0,0.3905,0.1512,14097,3,7,24
1,0.56,0.054,21698,0,3,36
2,0.7645,0.1458,4945,1,4,34
3,0.8442,0.2595,2703,1,1,29
4,0.9351,0.1911,6983,1,1,20
5,0.9482,0.1758,2580,1,1,26
6,0.9506,0.1346,23066,1,1,18
7,0.9453,0.1063,20349,1,0,23
8,0.9448,0.0613,18007,0,1,23
9,0.937,0.0357,22143,0,1,28
10,0.9112,0.0236,20955,0,1,23
11,0.9152,0.0163,18655,0,0,26
