layer,base_r,max_drop,top_feature_index,n_load_bearing,n_moderate,n_negative
0,0.9523,0.1644,8878,1,0,38
1,0.7598,0.3089,22992,1,5,24
2,0.7875,0.2752,8327,1,2,27
3,0.8757,0.2845,19325,1,1,26
4,0.9335,0.2552,12590,1,0,25
5,0.9242,0.2014,21178,1,0,32
6,0.9003,0.1454,12892,1,0,31
7,0.9069,0.1103,787,1,1,21
8,0.9087,0.071,16307,0,2,29
9,0.9109,0.0496,20103,0,2,22
10,0.9206,0.066,513,0,3,23
11,0.8528,0.079,18655,0,1,36
