layer,base_r,max_drop,top_feature_index,n_load_bearing,n_moderate,n_negative
0,0.3167,0.3152,21407,1,2,36
1,0.0021,0.0017,11588,0,0,80
2,0.6037,0.298,12690,2,1,51
3,0.6489,0.4143,2703,1,1,48
4,0.7002,0.5745,6983,1,3,43
5,0.7329,0.6372,2580,1,6,41
6,0.728,0.153,23066,1,8,40
7,0.8464,0.0363,8314,0,5,40
8,0.8768,0.0322,8531,0,2,40
9,0.9017,0.043,22187,0,1,43
10,0.9034,0.028,14425,0,1,38
11,0.9029,0.0266,18733,0,1,45
