layer,baseline_angular_r,baseline_rmse,max_drop,top_feature_index
0,0.7677,0.3434,0.2147,14244
1,0.691,4.6479,0.2263,15660
2,0.6321,5.1427,0.2066,11015
3,0.666,5.7714,0.2608,1942
4,0.7732,6.6477,0.47,5760
5,0.763,6.6708,0.2157,8919
6,0.7441,7.9674,0.5871,17308
7,0.6624,8.2013,0.2555,20927
8,0.7894,9.1448,0.6041,10594
9,0.6073,7.1933,0.3361,24341
10,0.5603,7.7322,0.306,24426
11,0.2661,4.4356,0.0225,15004
